municipality_code,latitude,longitude
02201,40.75984,140.72851
02201,40.76001,140.77406
02201,40.76029,140.58673
02201,40.76067,140.80054
02201,40.76211,140.79974
02201,40.76251,140.63715
02201,40.76277,140.74545
02201,40.7636,140.76537
02201,40.76395,140.75436
02201,40.76413,140.71151
02201,40.76426,140.78501
02201,40.76454,140.77026
02201,40.76571,140.72208
02201,40.76663,140.74101
02201,40.76667,140.79972
02201,40.7669,140.76836
02201,40.7675,140.73431
02201,40.76962,140.59576
02201,40.76999,140.7206
02201,40.77014,140.73001
02201,40.77201,140.7315
02201,40.77215,140.77895
02201,40.77308,140.71049
02201,40.77331,140.74014
02201,40.77352,140.76873
02201,40.77356,140.75766
02201,40.77359,140.75538
02201,40.77426,140.7357
02201,40.77576,140.74015
02201,40.77593,140.7444
02201,40.77691,140.75224
02201,40.77691,140.7616
02201,40.7771,140.74471
02201,40.7773,140.66753
02201,40.77734,140.79271
02201,40.77792,140.78343
02201,40.77814,140.77834
02201,40.77896,140.7882
02201,40.77928,140.7277
02201,40.77957,140.76364
02201,40.77972,140.74944
02201,40.77972,140.79205
02201,40.77975,140.73401
02201,40.78078,140.74927
02201,40.78107,140.66966
02201,40.7811,140.77846
02201,40.78146,140.58233
02201,40.78154,140.7295
02201,40.7817,140.74937
02201,40.78171,140.7756
02201,40.78198,140.78595
02201,40.78207,140.76847
02201,40.78232,140.75569
02201,40.78283,140.80511
02201,40.78311,140.75306
02201,40.78352,140.7656
02201,40.7836,140.77252
02201,40.78366,140.70529
02201,40.78371,140.78159
02201,40.78523,140.7546
02201,40.78539,140.76634
02201,40.78541,140.74609
02201,40.78582,140.71408
02201,40.78608,140.62811
02201,40.78662,140.73632
02201,40.78726,140.75423
02201,40.78815,140.74427
02201,40.78825,140.76346
02201,40.78835,140.83079
02201,40.78873,140.71029
02201,40.7888,140.74564
02201,40.78918,140.78229
02201,40.78933,140.74978
02201,40.79041,140.75725
02201,40.79049,140.83038
02201,40.79061,140.80249
02201,40.79083,140.82444
02201,40.79124,140.76303
02201,40.79141,140.78754
02201,40.79259,140.75039
02201,40.79308,140.75786
02201,40.79351,140.76271
02201,40.79363,140.77971
02201,40.7939,140.80371
02201,40.7942,140.75508
02201,40.79485,140.74239
02201,40.79531,140.71323
02201,40.7957,140.73614
02201,40.79625,140.75802
02201,40.79673,140.78958
02201,40.79681,140.80459
02201,40.79693,140.77161
02201,40.79754,140.80044
02201,40.79811,140.74898
02201,40.79818,140.772
02201,40.79865,140.74361
02201,40.79886,140.73067
02201,40.79913,140.72456
02201,40.79939,140.73606
02201,40.79956,140.80867
02201,40.79981,140.75466
02201,40.79988,140.79828
02201,40.80002,140.79027
02201,40.80007,140.80079
02201,40.80029,140.77701
02201,40.8006,140.72946
02201,40.80073,140.78224
02201,40.80075,140.79364
02201,40.80101,140.76071
02201,40.80138,140.75977
02201,40.80162,140.72687
02201,40.80174,140.78428
02201,40.80205,140.75223
02201,40.80241,140.74827
02201,40.80257,140.75071
02201,40.80262,140.81184
02201,40.80266,140.72328
02201,40.80275,140.7433
02201,40.80282,140.71431
02201,40.80337,140.71246
02201,40.80367,140.73504
02201,40.8037,140.72641
02201,40.8038,140.73346
02201,40.80382,140.80136
02201,40.80407,140.77033
02201,40.8048,140.77955
02201,40.80497,140.76587
02201,40.80513,140.70696
02201,40.80513,140.74783
02201,40.80536,140.77461
02201,40.80539,140.78859
02201,40.80544,140.72552
02201,40.80557,140.71979
02201,40.80565,140.73365
02201,40.80572,140.78509
02201,40.80584,140.74305
02201,40.80606,140.79978
02201,40.80624,140.7892
02201,40.80663,140.79009
02201,40.80675,140.75284
02201,40.80682,140.79165
02201,40.80694,140.72156
02201,40.8072,140.80915
02201,40.80731,140.78154
02201,40.80747,140.80903
02201,40.80749,140.74816
02201,40.80755,140.79471
02201,40.80764,140.76551
02201,40.8077,140.79005
02201,40.80809,140.72838
02201,40.80812,140.7689
02201,40.80816,140.74336
02201,40.8082,140.71777
02201,40.80833,140.78424
02201,40.80862,140.71986
02201,40.80878,140.77455
02201,40.80886,140.71162
02201,40.8096,140.78675
02201,40.80984,140.69579
02201,40.80989,140.71075
02201,40.81002,140.78232
02201,40.81021,140.75444
02201,40.81023,140.75243
02201,40.81029,140.76024
02201,40.81037,140.77054
02201,40.81042,140.73028
02201,40.81063,140.74862
02201,40.81063,140.79464
02201,40.81071,140.77674
02201,40.81078,140.78187
02201,40.81081,140.79918
02201,40.81083,140.68909
02201,40.81084,140.80485
02201,40.81089,140.73941
02201,40.8109,140.73448
02201,40.81097,140.76667
02201,40.81097,140.78952
02201,40.81099,140.64041
02201,40.81144,140.71378
02201,40.81152,140.75404
02201,40.81161,140.74497
02201,40.81165,140.72689
02201,40.81168,140.79132
02201,40.81179,140.77952
02201,40.8118,140.72152
02201,40.81182,140.64298
02201,40.81194,140.73922
02201,40.8122,140.79441
02201,40.81223,140.74292
02201,40.81235,140.78488
02201,40.81247,140.71634
02201,40.81263,140.64607
02201,40.81266,140.8129
02201,40.81305,140.76503
02201,40.81308,140.75658
02201,40.81308,140.77124
02201,40.81322,140.76194
02201,40.8135,140.81104
02201,40.81361,140.79889
02201,40.81378,140.72477
02201,40.81393,140.64415
